timestamp,red,ir
14092219,80007,112650
14102219,80021,112686
14112219,80036,112729
14122219,80040,112752
14132219,80048,112780
14142219,80050,112824
14152219,80058,112830
14162219,80068,112840
14172219,80071,112859
14182219,80077,112869
14192219,80076,112881
14202219,80072,112895
14212219,80080,112911
14222219,80088,112948
14232219,80085,112988
14242219,80091,113046
14253219,80118,113095
14263219,80122,113127
14273219,80131,113150
14283219,80135,113188
14293219,80136,113197
14303219,80146,113203
14313219,80151,113226
14323219,80147,113237
14333219,80145,113252
14343219,80162,113277
14353219,80167,113287
14363219,80167,113299
14373219,80177,113316
14383219,80180,113319
14393219,80172,113332
14403219,80181,113334
14413219,80176,113342
14423219,80185,113359
14433219,80183,113365
14444219,80181,113358
14454219,80180,113366
14464219,80177,113371
14474219,80186,113378
14484219,80179,113394
14494219,80185,113409
14504219,80191,113419
14514219,80197,113428
14524219,80201,113451
14534219,80202,113462
14544219,80215,113482
14554219,80216,113478
14564219,80214,113495
14574219,80211,113499
14584219,80208,113490
14594219,80222,113507
14604219,80212,113510
14614219,80208,113518
14624219,80220,113539
14635219,80218,113533
14645219,80221,113567
14655219,80222,113553
14665219,80215,113566
14675219,80240,113584
14685219,80234,113586
14695219,80231,113595
14705219,80238,113609
14715219,80246,113623
14725219,80245,113623
14735219,80242,113622
14745219,80245,113621
14755219,80239,113630
14765219,80232,113627
14775219,80237,113624
14785219,80247,113616
14795219,80242,113589
14805219,80214,113528
14815219,80196,113424
14826219,80167,113276
14836219,80114,113059
14846219,80058,112728
14856219,79959,112376
14866219,79875,112096
14876219,79812,111897
14886219,79769,111774
14896219,79758,111746
14906219,79752,111737
14916219,79765,111781
14926219,79777,111823
14936219,79795,111900
14946219,79823,111977
14956219,79834,112047
14966219,79856,112116
14976219,79870,112178
14986219,79891,112251
14996219,79906,112291
15007219,79908,112359
15017219,79932,112434
15027219,79944,112517
15037219,79964,112575
15047219,79981,112632
15057219,79991,112685
15067219,80005,112727
15077219,80012,112771
15087219,80033,112821
15097219,80040,112882
15107219,80057,112904
15117219,80072,112950
15127219,80072,112968
15137219,80084,112993
15147219,80088,113010
15157219,80084,113028
15167219,80083,113022
15177219,80086,113021
15187219,80074,112996
15198219,80078,113004
15208219,80069,113008
15218219,80066,113029
15228219,80084,113048
15238219,80074,113086
15248219,80086,113122
15258219,80107,113167
15268219,80107,113209
15278219,80115,113236
15288219,80118,113255
15298219,80140,113265
15308219,80138,113258
15318219,80134,113289
15328219,80135,113313
15338219,80144,113313
15348219,80156,113333
15358219,80153,113356
15368219,80146,113357
15378219,80163,113372
15389219,80148,113371
15399219,80153,113390
15409219,80150,113391
15419219,80149,113391
15429219,80165,113411
15439219,80156,113423
15449219,80160,113441
15459219,80154,113460
15469219,80172,113482
15479219,80179,113489
15489219,80178,113499
15499219,80190,113519
15509219,80179,113522
15519219,80177,113527
15529219,80183,113548
15539219,80182,113529
15549219,80182,113555
15559219,80183,113558
15570219,80184,113569
15580219,80192,113570
15590219,80188,113575
15600219,80179,113591
15610219,80193,113592
15620219,80189,113609
15630219,80192,113608
15640219,80195,113622
15650219,80192,113640
15660219,80194,113657
15670219,80198,113648
15680219,80210,113652
15690219,80211,113668
15700219,80206,113668
15710219,80213,113668
15720219,80208,113663
15730219,80217,113665
15740219,80210,113680
15750219,80202,113681
15761219,80209,113693
15771219,80205,113671
15781219,80202,113642
15791219,80185,113593
15801219,80157,113464
15811219,80117,113235
15821219,80058,112869
15831219,79935,112474
15841219,79851,112143
15851219,79776,111892
15861219,79737,111791
15871219,79712,111753
15881219,79703,111771
15891219,79715,111811
15901219,79734,111866
15911219,79759,111967
15921219,79775,112066
15931219,79798,112160
15941219,79830,112246
15952219,79846,112321
15962219,79870,112418
15972219,79878,112491
15982219,79891,112585
15992219,79940,112664
16002219,79950,112741
16012219,79966,112798
16022219,79981,112862
16032219,79994,112911
16042219,80019,112961
16052219,80020,113009
16062219,80039,113055
16072219,80044,113105
16082219,80055,113142
16092219,80067,113182
16102219,80076,113198
16112219,80069,113224
16122219,80079,113229
16133219,80073,113222
16143219,80083,113226
16153219,80070,113220
16163219,80071,113235
16173219,80083,113263
16183219,80085,113274
16193219,80086,113300
16203219,80096,113314
16213219,80097,113348
